N°,DR,wilaya,N°,Wilaya,DR,agence,cat_age,coord_y,coord_x,Coordonnées GPs
132,ORAN,ORAN,63,Oran,#N/A,CSM Oran,Principale,,,
133,ORAN,ORAN,64,ORAN,ORAN,ORAN MAKARI,Principale,35.69748087142952,-0.6156376997748915,"35.69748087142952, -0.6156376997748915"
134,ORAN,SAIDA,65,SAIDA,ORAN,SAIDA,Principale,34.831257,0.147058,"34.831257, 0.147058"
136,ORAN,SIDI BEL ABBES,66,SIDI BEL ABBES,ORAN,SIDI BEL ABBES,Principale,35.191261,-0.632265,"35,191261, -0,632265"
140,ORAN,TELEMCEN,67,TELEMCEN,ORAN,TELEMCEN,Principale,34.885358892163076,-1.3205408327232921,"34.885358892163076, -1.3205408327232921"
141,OUARGLA, DJANET,68, DJANET,OUARGLA,DJANET,Proximité,24.554205918291057,9.485223047783492,"24.554205918291057, 9.485223047783492"
142,OUARGLA, EL MENIA,69, EL MENIA,OUARGLA,EL MENIA,Proximité,30.580591817625425,2.8828559973535572,"30.580591817625425, 2.8828559973535572"
143,OUARGLA, TOUGGOURT,70, TOUGGOURT,OUARGLA,TOUGGOURT,Proximité,33.1068387470546,6.07007693608814,"33.1068387470546, 6.07007693608814"
144,OUARGLA,AIN SALAH,71,AIN SALAH,OUARGLA,AIN SALAH,Proximité,27.19543177608449,2.479238796041063,"27.19543177608449, 2.479238796041063"
145,OUARGLA,BISKRA,72,BISKRA,OUARGLA,BISKRA,Principale,34.85561816127689,5.731241018311783,"34.85561816127689, 5.731241018311783"
147,OUARGLA,EL MAGHAIER,73,EL MAGHAIER,OUARGLA,EL MAGHAIER,Proximité,33.95024576797182,5.926283137328042,"33.95024576797182, 5.926283137328042"
149,OUARGLA,EL OUED,74,EL OUED,OUARGLA,EL OUED,Principale,33.36218829019723,6.859667536697915,"33.36218829019723, 6.859667536697915"
152,OUARGLA,GHARDAIA,75,GHARDAIA,OUARGLA,GHARDAIA,Principale,32.486127696706525,3.677377490053387,"32.486127696706525, 3.677377490053387"
154,OUARGLA,ILLIZI,76,ILLIZI,OUARGLA,ILLIZI,Principale,26.499768664705577,8.475430249226292,"26.499768664705577, 8.475430249226292"
157,OUARGLA,LAGHOUAT,77,LAGHOUAT,OUARGLA,LAGHOUAT 01,Principale,33.79644738552079,2.866741698067627,"33.79644738552079, 2.866741698067627"
158,OUARGLA,LAGHOUAT,78,LAGHOUAT,OUARGLA,LAGHOUAT2,Proximité,33.799440002019715, 2.8696193273615545,"33.799440002019715, 2.8696193273615545"
160,OUARGLA,OUARGLA,79,OUARGLA,OUARGLA,HASSI MESSAOUD,Principale,31.692287419185732,6.057662372849001,"31.692287419185732, 6.057662372849001"
162,OUARGLA,OUARGLA,80,OUARGLA,OUARGLA,FLAGSHIP OUARGLA,Flagship,31.944476826255677,5.321191869170349,"31.944476826255677, 5.321191869170349"
163,OUARGLA,TAMANRASSET,81,TAMANRASSET,OUARGLA,TAMANRASSET,Principale,22.79728341932409, 5.53139186925898,"22.79728341932409, 5.53139186925898"
164,SETIF,BEJAIA,82,BEJAIA,SETIF,AKBOU,Principale,36.45717894707879,4.535757077109744,"36.45717894707879, 4.535757077109744"
166,SETIF,BEJAIA,83,BEJAIA,SETIF,BEJAIA,Principale,36.75401280997844,5.060902202792262,"36.75401280997844, 5.060902202792262"
169,SETIF,BORDJ BOUARIREJ,84,BORDJ BOUARIREJ,SETIF,BORDJ BOUARIREJ 1,Principale,36.07576162465611,4.7687218955156405,"36.07576162465611, 4.7687218955156405"
172,SETIF,JIJEL,85,JIJEL,SETIF,JIJEL,Principale,36.81880909367128,5.768264820970762,"36.81880909367128, 5.768264820970762"
174,SETIF,MSILA,86,MSILA,SETIF,BOUSSAADA,Proximité,35.20075935966173,4.165700645908645,"35.20075935966173, 4.165700645908645"
175,SETIF,MSILA,87,MSILA,SETIF,MSILA,Principale,35.70277959215625,4.538199519614974,"35.70277959215625, 4.538199519614974"
176,SETIF,MSILA,88,MSILA,SETIF,Sidi Aissa,Proximité,35.88789164996155,3.7733233423975636,"35.88789164996155, 3.7733233423975636"
179,SETIF,SETIF,89,SETIF,SETIF,El eulma,Principale,36.14885659932326,5.692154340559562,"36.14885659932326, 5.692154340559562"
181,SETIF,SETIF,90,SETIF,SETIF,SETIF ,Principale,36.18986479692755,5.416907100717483,"36.18986479692755, 5.416907100717483"
